,Return to the Registered Reports page at the COS,,,,,,,,,,,,,,,,,,,,
Journal,1. Includes pre-study peer review,2. Offers provisional pre-study acceptance,3. Permanence of adoption,4. Offered for novel studies,5. Offered for replication studies,6. Offered for meta-analysis,7. Offered for analyses of existing data sets,8. Publishes Registered Reports only,9. Allows reporting of unregistered analyses,10. Includes post-study peer review,11. Allows inclusion of unregistered pilot studies,12. Requires public data deposition,13. Specifies structured criteria for editorial decisions,14. Requires submitted protocols to have prior ethical approval,15. Specifies minimum statistical power requirements,16. Will publish ‘Withdrawn Registrations’,"17. Publishes accepted protocols, in full or part, prior to study completion",18. Offers incremental (sequential) registration,19. Offers incremental addition of unregistered studies,20. Offered for qualitative research,21. Requires deposition of protocol in public registry following Stage 1 acceptance
,JOURNALS OFFERING REGISTERED REPORTS        ,,,,,,,,,,,,,,,,,,,,
AAS Open Research,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,
Acta Psychologica ,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Addiction Research & Theory,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,✓
Advances in Methods and Practices in Psychological Science,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,✓,,,✓,,✓,,,✓
AERA Open,✓,✓,Special issue,✓,✓,✓,✓,,✓,✓,✓,,,,,,,,,✓,
Alimentary Pharmacology & Therapeutics,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
American Journal of Political Science,✓,✓,Special issue: 2016 ANES Preacceptance Initiative,✓,,,✓,,✓,✓,,,,,,,,,,,
American Political Science Review,✓,✓,Special issue: 2016 ANES Preacceptance Initiative,✓,,,✓,,✓,✓,,,,,,,,,,,
American Politics Research,✓,✓,Special issue: 2016 ANES Preacceptance Initiative,✓,,,✓,,✓,✓,,,,,,,,,,,
AMRC Open Research,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,
Animal Behavior and Cognition,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓ (discretionary),,,✓,,,,,,,,✓
Applied Cognitive Psychology,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,✓,,✓,,,✓
Archive for the Psychology of Religion ,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓ (when feasible),✓,✓,,✓,✓,✓,✓
Assessment,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
"Attention, Perception & Psychophysics",✓,✓,Indefinite,✓,✓,,,,✓,✓,✓,✓,✓,✓,✓,,,,,,
Behavioral Neuroscience,✓,✓,Indefinite,✓,✓,,,,✓,✓,✓,,,✓,,,,,,,
Biolinguistics,✓,✓,Indefinite,✓,✓,,,,✓,✓,✓,✓,✓,✓,,✓,,,,,✓
BMC Biology,✓,✓,Indefinite,✓,✓,,,,✓,✓,✓,,✓,✓,✓,✓,,,,,
BMC Ecology,✓,✓,Indefinite,✓,✓,,,,✓,✓,✓,,✓,✓,✓,✓,,,,,
BMC Medicine,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,✓,✓ *but negotiable for trials,✓,✓,✓,,,✓,✓
BMJ Open Science,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓ (optional in full),✓,,,✓
Brain and Behavior,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,✓,,✓,,,✓
Brain and Neuroscience Advances,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,✓
Brain Communications,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,✓,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
British Journal of Clinical Psychology,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,,,✓,,,✓
British Journal of Developmental Psychology,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,,,✓,,,✓
British Journal of Educational Psychology,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,,,✓,,,✓
British Journal of Health Psychology,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,,,✓,,,✓
British Journal of Mathematical and Statistical Psychology,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,,,✓,,,✓
British Journal of Psychology,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,,,✓,,,✓
British Journal of Social Psychology,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,,,✓,,,✓
Business & Information Systems Engineering: Human Computer Interaction and Social Computing,✓,✓,Indefinite,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Campbell Systematic Reviews ,✓,✓,Indefinite,,,✓,✓,✓,,✓,✓,,✓,,,,,,,,✓
Canadian Journal of Experimental Psychology,✓,✓,Indefinite,✓,✓,,,,✓,✓,✓,✓,,✓,,,,,,,✓
Canadian Journal of School Psychology,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,✓,,,✓,,,,,✓
Cancer Medicine,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,✓,,✓,,,✓
